ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY.STARTDATE,VALIDITY.ENDDATE,LATITUDE,LONGITUDE,POINT
1000000001,München,85399,Zeppelinstraße,2,DE,EMEA,02,2000-01-01,9999-12-31,48.1938734000,11.562391391838,POINT(48.1938734000 11.562391391838)
1000000002,Antioch1 Illinois,60002,Tiffany Road,54,US,AMER,01,2000-01-01,9999-12-31,42.4677883,-88.09862409999999,POINT(42.4677883 -88.0986240999999)
1000000003,San Francisco,94101,Summerset Street,6,US,AMER,01,2000-01-01,9999-12-31,37.7235468,-122.4063031,POINT(37.7235468 -122.4063031)
1000000004,San Francisco,94101,Risel Avenue,35,US,AMER,01,2000-01-01,9999-12-31,37.7064938,-122.4488648,POINT(37.7064938 -122.4488648)
1000000005,San Francisco,94101,Winding Way,8,US,AMER,01,2000-01-01,9999-12-31,37.7094371,-122.4352474,POINT(37.7094371 -122.4352474)
1000000006,New York,10011,11th Avenue,17,US,AMER,01,2000-01-01,9999-12-31,40.7439059,-74.0086151,POINT(40.7439059 -74.0086151)
1000000007,San Francisco,94101,San Fernando Way,10,US,AMER,01,2000-01-01,9999-12-31,37.733221,-122.4695642,POINT(37.733221 -122.4695642)
1000000008,Antioch Illinois,60002,7th Avenue,32,US,AMER,01,2000-01-01,9999-12-31,42.4759886999999,-88.1312672,POINT(42.4759886999999 -88.1312672)
1000000009,New York,10011,57th Avenue,19,US,AMER,01,2000-01-01,9999-12-31,40.7602538,-73.9675441,POINT(40.7602538 -73.9675441)
1000000010,Antioch Illinois,60002,Fillmore Street,59,US,AMER,01,2000-01-01,9999-12-31,42.4772418,-88.0956396,POINT(42.4772418 -88.0956396)
1000000011,London,EC1Y8SY,Castle Lane,25,GB,EMEA,01,2000-01-01,9999-12-31,51.508515,-0.1254872,POINT(51.508515 -0.1254872)
1000000012,London,EC1Y8SY,Wilton Road,24,GB,EMEA,01,2000-01-01,9999-12-31,51.4931204,-0.1411505,POINT(51.4931204 -0.1411505)
