HEADER.SALESORDERID,SALESORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,ITEMATPSTATUS,OPITEMPOS,QUANTITY,QUANTITYUNIT,DELIVERYDATE
500000000,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000000,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000001,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000001,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000002,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000002,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000003,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000003,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000004,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000004,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000005,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000005,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000006,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000006,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000007,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000007,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000008,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000008,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000009,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000009,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000010,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000010,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000011,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000011,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000012,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000012,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000013,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000013,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000014,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000014,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000015,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000015,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000016,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000016,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000017,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000017,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000018,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000018,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000019,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000019,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000020,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000020,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000021,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000021,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000022,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000022,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000023,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000023,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000024,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000024,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000025,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000025,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000026,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000026,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000027,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000027,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000028,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000028,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000029,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000029,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000030,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000030,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000031,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000031,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000032,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000032,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000033,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000033,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000034,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000034,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000035,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000035,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000036,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000036,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000037,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000037,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000038,10,HT-1070,,ARS,84.37,70.9,13.47,I,,1,EA,2015-12-04
500000038,20,HT-1071,,ZAR,291.67,245.1,46.57,I,,3,EA,2015-12-04
500000039,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000039,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000040,10,HT-1113,,EUR,8.21,6.9,1.31,I,,3,EA,2015-12-04
500000040,20,HT-1114,,USD,164.22,138,26.22,I,,2,EA,2015-12-04
500000041,10,HT-1117,,EUR,90.44,76,14.44,I,,2,EA,2015-12-04
500000041,20,HT-1118,,ARS,94.01,79,15.01,I,,1,EA,2015-12-04
500000042,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000042,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000043,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000043,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000044,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000044,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000045,10,HT-1210,,EUR,5709.62,4798,911.62,I,,2,EA,2015-12-04
500000045,20,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000046,10,HT-1063,,BRL,33.32,28,5.32,I,,2,EA,2015-12-04
500000046,20,HT-1064,,CAD,19.04,16,3.04,I,,1,EA,2015-12-04
500000047,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000047,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000048,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000048,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000049,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000049,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000050,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000050,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000051,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000051,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000052,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000052,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000053,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000053,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000054,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000054,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000055,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000055,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000056,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000056,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000057,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000057,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000058,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000058,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000059,10,HT-1040,,EUR,1975.4,1660,315.4,I,,2,EA,2015-12-04
500000059,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000060,10,HT-1070,,ARS,168.74,141.8,26.94,I,,2,EA,2015-12-04
500000060,20,HT-1071,,ZAR,194.45,163.4,31.05,I,,2,EA,2015-12-04
500000061,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000061,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000062,10,HT-1000,,EUR,2275.28,1912,363.28,I,,2,EA,2015-12-04
500000062,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000063,10,HT-1022,,ARS,243.95,205,38.95,I,,1,EA,2015-12-04
500000063,20,HT-1023,,USD,853.23,717,136.23,I,,3,EA,2015-12-04
500000064,10,HT-1040,,EUR,987.7,830,157.7,I,,1,EA,2015-12-04
500000064,20,HT-1041,,ARS,1166.2,980,186.2,I,,2,EA,2015-12-04
500000065,10,HT-1055,,EUR,353.43,297,56.43,I,,3,EA,2015-12-04
500000065,20,HT-1056,,JPY,283.22,238,45.22,I,,2,EA,2015-12-04
500000066,10,HT-1067,,EUR,8.33,7,1.33,I,,2,EA,2015-12-04
500000066,20,HT-1068,,USD,4.17,3.5,0.67,I,,1,EA,2015-12-04
500000067,10,HT-1100,,USD,106.98,89.9,17.08,I,,1,EA,2015-12-04
500000067,20,HT-1107,,ARS,71.16,59.8,11.36,I,,2,EA,2015-12-04
500000068,10,HT-1100,,USD,320.94,269.7,51.24,I,,3,EA,2015-12-04
500000068,20,HT-1101,,EUR,285.24,239.7,45.54,I,,3,EA,2015-12-04
500000069,10,HT-1070,,ARS,253.11,212.7,40.41,I,,3,EA,2015-12-04
500000069,20,HT-1071,,ZAR,97.22,81.7,15.52,I,,1,EA,2015-12-04
500000070,10,HT-1082,,ARS,402.22,338,64.22,I,,2,EA,2015-12-04
500000070,20,HT-1083,,CNY,1237.6,1040,197.6,I,,2,EA,2015-12-04
500000071,10,HT-1113,,EUR,5.47,4.6,0.87,I,,2,EA,2015-12-04
500000071,20,HT-1114,,USD,82.11,69,13.11,I,,1,EA,2015-12-04
500000072,10,HT-1102,,USD,246.33,207,39.33,I,,3,EA,2015-12-04
500000072,20,HT-1103,,EUR,274.89,231,43.89,I,,3,EA,2015-12-04
500000073,10,HT-1104,,JPY,196.35,165,31.35,I,,3,EA,2015-12-04
500000073,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000074,10,HT-1116,,MXN,128.52,108,20.52,I,,3,EA,2015-12-04
500000074,20,HT-1117,,EUR,135.66,114,21.66,I,,3,EA,2015-12-04
500000075,10,HT-1000,,EUR,1137.64,956,181.64,I,,1,EA,2015-12-04
500000075,20,HT-1001,,EUR,2972.62,2498,474.62,I,,2,EA,2015-12-04
500000076,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000076,20,HT-1031,,GBP,339.15,285,54.15,I,,1,EA,2015-12-04
500000077,10,HT-1040,,EUR,2963.1,2490,473.1,I,,3,EA,2015-12-04
500000077,20,HT-1041,,ARS,583.1,490,93.1,I,,1,EA,2015-12-04
500000078,10,HT-1073,,EUR,85.68,72,13.68,I,,3,EA,2015-12-04
500000078,20,HT-1080,,INR,182.07,153,29.07,I,,3,EA,2015-12-04
500000079,10,HT-1100,,USD,213.96,179.8,34.16,I,,2,EA,2015-12-04
500000079,20,HT-1101,,EUR,95.08,79.9,15.18,I,,1,EA,2015-12-04
500000080,10,HT-1500,,EUR,5950,5000,950,I,,1,EA,2015-12-04
500000080,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000081,10,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
500000081,20,HT-1106,,MXN,40.46,34,6.46,I,,1,EA,2015-12-04
500000082,10,HT-1030,,EUR,547.4,460,87.4,I,,2,EA,2015-12-04
500000082,20,HT-1031,,GBP,1017.45,855,162.45,I,,3,EA,2015-12-04
500000083,10,HT-1060,,EUR,21.42,18,3.42,I,,2,EA,2015-12-04
500000083,20,HT-1061,,EUR,16.66,14,2.66,I,,2,EA,2015-12-04
500000084,10,HT-1500,,EUR,11900,10000,1900,I,,2,EA,2015-12-04
500000084,20,HT-1501,,JPY,3570,3000,570,I,,2,EA,2015-12-04
500000085,10,HT-1085,,DKK,3567.62,2998,569.62,I,,2,EA,2015-12-04
500000085,20,HT-1090,,EUR,92.82,78,14.82,I,,2,EA,2015-12-04
500000086,10,HT-1104,,JPY,65.45,55,10.45,I,,1,EA,2015-12-04
500000086,20,HT-1105,,EUR,103.53,87,16.53,I,,3,EA,2015-12-04
