MESSAGECLASS,MESSAGENUMBER,LANGUAGE,DESCRIPTION,TEXT
SEPM_BOR_MESSAGES,001,en,EPM problem: &1,
SEPM_BO_COMMON,001,en,Operation &1 failed. Reason: &2,
SEPM_DG,001,en,User &1 not found in table SNWD_LOCAL_USERS,
SEPM_EXCEPTIONS,001,en,Data type does not match buffer type,
SEPM_PI_MESSAGES,001,en,No logical Port found for Proxy&1 in Configuration Table &2,
SEPM_SALES_ON_DEMAND,001,en,Routing information has not been specified by sender,
SEPM_TEST,001,en,Internal error: bug in EPM test utilities or test framework,
SEPM_WD,001,en,Partner ID does not exist,
SEPM_BO_COMMON,046,en,Invalid country code '&1',
SEPM_BO_COMMON,046,de,Ungültige Ländervorwahl '&1',
SEPM_BO_COMMON,047,en,ID cannot be changed in a saved product,
SEPM_BO_COMMON,047,de,ID kann in einem gesicherten Produkt nicht geändert werden,
SEPM_BO_COMMON,048,en,Product cannot be changed in a saved storage bin,
SEPM_BO_COMMON,048,de,Produkt kann in einem gesicherten Lagerplatz nicht geändert werden,
SEPM_BO_COMMON,049,en,Org Unit cannot be changed in a saved storage bin,
SEPM_BO_COMMON,049,de,OrgEinheit kann in einem gesicherten Lagerplatz nicht geändert werden,
SEPM_BO_COMMON,050,en,Bin Number cannot be changed in a saved storage bin,
SEPM_BO_COMMON,050,de,Lagerplatznr. kann in einem gesicherten Lagerplatz nicht geändert werden,
SEPM_BO_COMMON,051,en,Goods Issue cannot be changed after save,
SEPM_BO_COMMON,051,de,Warenausgang kann nach dem Sichern nicht geändert werden,
SEPM_BO_COMMON,052,en,Goods Receipt cannot be changed after save,
SEPM_BO_COMMON,052,de,Wareneingang kann nach dem Sichern nicht geändert werden,
SEPM_BO_COMMON,053,en,Sales Order Invoice cannot be changed after save,
SEPM_BO_COMMON,053,de,Kundenauftragsrechnung kann nach dem Sichern nicht geändert werden,
SEPM_BO_COMMON,054,en,Purchase Order Invoice cannot be changed after save,
SEPM_BO_COMMON,054,de,Rechnung für Bestellung kann nach dem Sichern nicht geändert werden,
SEPM_BO_COMMON,055,en,Text created in original language cannot be deleted,
SEPM_BO_COMMON,055,de,In Originalsprache angelegter Text kann nicht gelöscht werden,
SEPM_BO_COMMON,056,en,Mime type '&1' is not supported,
SEPM_BO_COMMON,056,de,MIME-Typ '&1' wird nicht unterstützt,
SEPM_BO_COMMON,316,en,Only purchase orders with lifecycle status 'New' can be changed,
SEPM_BO_COMMON,316,de,Nur Bestellungen mit Lebenszyklusstatus 'Neu' können geändert werden,
SEPM_BO_COMMON,317,en,Supplier cannot be changed as long as there are items,
SEPM_BO_COMMON,317,de,Lieferant kann nicht geändert werden solange es Positionen gibt,
SEPM_BO_COMMON,318,en,Only purchase orders with initial confirmation status can be deleted,
SEPM_BO_COMMON,318,de,Nur Bestellungen mit initialem Bestätigungsstatus können gelöscht werden,
SEPM_BO_COMMON,401,en,Only sales orders with lifecycle status 'New' can be changed,
SEPM_BO_COMMON,401,de,Nur Kundenaufträge mit Lebenszyklusstatus 'Neu' können geändert werden,
SEPM_BO_COMMON,402,en,Customer cannot be changed in a saved sales order,
SEPM_BO_COMMON,402,de,Kunde kann in einem gesicherten Kundenauftrag nicht geändert werden,
SEPM_BO_COMMON,403,en,Sales orders created by an opportunity cannot be deleted,
SEPM_BO_COMMON,403,de,Durch Opportunity angelegte Kundenaufträge können nicht gelöscht werden,
SEPM_BO_COMMON,600,en,---  Org BO Messages ---------------------------------------------------,
SEPM_BO_COMMON,600,de,---  Meldungen zum Org-BO -----------------------------------------------,
SEPM_BO_COMMON,601,en,Start date &1 collides with existing assignment,
SEPM_BO_COMMON,601,de,Startdatum &1 kollidiert mit bestehender Zuordnung,
SEPM_BO_COMMON,602,en,Number of referenced Storage Bins deleted: &1,
SEPM_BO_COMMON,602,de,Anzahl der gelöschten referenzierten Lagerplätze: &1,
SEPM_BO_COMMON,603,en,Only one company can exist in the EPM model,
SEPM_BO_COMMON,603,de,In dem EPM-Modell kann es nur ein Unternehmen geben,
SEPM_BO_COMMON,604,en,Historic staffing data cannot be changed,
SEPM_BO_COMMON,604,de,Alte Personaldaten können nicht geändert werden,
SEPM_BO_COMMON,605,en,The Login Name of employees cannot be changed.,
SEPM_BO_COMMON,605,de,Der Anmeldename von Mitarbeitern kann nicht geändert werden.,
SEPM_BO_COMMON,700,en,--- Product BO Messages -----------------------------------------------,
SEPM_BO_COMMON,700,de,--- Meldungen zum Produkt-BO --------------------------------------------,
SEPM_BO_COMMON,701,en,Invalid Conversion Factor,
SEPM_BO_COMMON,701,de,Ungültiger Umwandlungsfaktor,
SEPM_DG,003,en,EPM Data Generator locked by user &1,
SEPM_DG,011,en,Error: Incomplete or inconsistent parameters,
SEPM_DG,011,de,Fehler: unvollständige oder inkonsistente Parameter,
SEPM_EXCEPTIONS,053,en,Mime type is initial,
SEPM_EXCEPTIONS,053,de,MIME-Typ ist initial,
SEPM_EXCEPTIONS,080,en,More than 1 Company record found,
SEPM_EXCEPTIONS,080,de,Mehr als 1 Unternehmenssatz gefunden,
SEPM_FPM,000,en,Data saved,
SEPM_FPM,001,en,Purchase Order &1 deleted,
SEPM_FPM,001,de,Bestellung &1 gelöscht,
SEPM_FPM,002,en,Product &1 deleted,
SEPM_FPM,002,de,Produkt &1 gelöscht,
SEPM_FPM,003,en,Items missing,
SEPM_FPM,004,en,Sales Order &1 deleted,
SEPM_FPM,004,de,Kundenauftrag &1 gelöscht,
SEPM_FPM,006,en,Department '&1' and sub-departments deleted,
SEPM_FPM,006,de,Abteilung '&1' und Unterabteilungen gelöscht,
SEPM_FPM,007,en,Employee promoted to manager,
SEPM_FPM,007,de,Mitarbeiter befördert zum Manager,
SEPM_FPM,008,en,Employee re-assigned,
SEPM_FPM,008,de,Mitarbeiter neu zugeordnet,
SEPM_FPM,009,en,Department re-assigned,
SEPM_FPM,009,de,Abteilung neu zugeordnet,
SEPM_FPM,010,en,Department name missing,
SEPM_FPM,010,de,Abteilungsname fehlt,
SEPM_FPM,011,en,Currency missing,
SEPM_FPM,011,de,Währung fehlt,
SEPM_FPM,012,en,City missing,
SEPM_FPM,012,de,Ort fehlt,
SEPM_FPM,013,en,Street missing,
SEPM_FPM,013,de,Straße fehlt,
SEPM_FPM,014,en,Country missing,
SEPM_FPM,014,de,Land fehlt,
SEPM_BOR_MESSAGES,002,en,Consumer problem: Product ID mismatch [&1],
SEPM_BO_COMMON,002,en,Element is locked by user &1,
SEPM_DG,002,en,EPM Master Data must be recreated for User &1,
SEPM_EXCEPTIONS,002,en,BO name &1 is invalid,
SEPM_PI_MESSAGES,002,en,Message was sent via WS Proxy &1. Processing Time:&2 s,
SEPM_SALES_ON_DEMAND,002,en,Logical partner system '&1' is unknown,
SEPM_WD,002,en,Product ID does not exist,
SEPM_BOR_MESSAGES,003,en,Consumer problem: &1,
SEPM_BO_COMMON,003,en,Value &1 is invalid for Field &2,
SEPM_EXCEPTIONS,003,en,Invalid query parameter value. Parameter = &1 Value = &2,
SEPM_SALES_ON_DEMAND,003,en,EPM test environment data specification is incomplete,
SEPM_WD,003,en,Save not executed,
SEPM_BOR_MESSAGES,004,en,EPM problem: Retrieval of product data [&1] has failed,
SEPM_BO_COMMON,004,en,Invalid measure unit '&1',
SEPM_DG,004,en,EPM Data Generator: Master Data deleted,
SEPM_EXCEPTIONS,004,en,BO node '&1' has no parent node,
SEPM_PI_MESSAGES,003,en,Error when sending WS Message via Proxy&1:&2,
SEPM_BOR_MESSAGES,005,en,Consumer problem: Changing &1 has failed,
SEPM_BO_COMMON,005,en,Product does not exist,
SEPM_DG,005,en,EPM Data Generator: Employee Data created,
SEPM_EXCEPTIONS,005,en,DB table '&1' does not exist,
SEPM_PI_MESSAGES,004,en,Paramers &1 &2 and &3 must set to 'true',
SEPM_SALES_ON_DEMAND,004,en,Opportunity data specification (Header Item Schedule Line) is missing,
SEPM_WD,004,en,Purchase Order & created,
SEPM_BOR_MESSAGES,000,en,----------- BOR related messages - Start - ----------,
SEPM_BO_COMMON,000,en,Arithmetic Overflow: Operation &1 cannot be executed.,
SEPM_FPM,005,en,Amount is too big (reduce quantities),
SEPM_SALES_ON_DEMAND,005,en,Invalid OP header data: &1,
SEPM_TEST,000,en,***** Errors in the test utilities,
SEPM_WD,005,en,Purchase Order & changed,
SEPM_BOR_MESSAGES,006,en,EPM problem: Changing &1 has failed,
SEPM_BO_COMMON,006,en,BO listener '&1' contains errors (&2),
SEPM_DG,006,en,EPM Data Generator: Business Partner Data created,
SEPM_EXCEPTIONS,006,en,Node key is initial,
SEPM_PI_MESSAGES,000,en,Locical Port &1 is not valid lease check logical Ports for Proxy &2,
SEPM_SALES_ON_DEMAND,000,en,==== IDOC Inbound processing ==============================,
SEPM_BOR_MESSAGES,010,en,EPM problem: Deleting &1 has failed,
SEPM_DG,010,en,File &1 not found on backend,
SEPM_EXCEPTIONS,010,en,Parent key is initial,
SEPM_SALES_ON_DEMAND,006,en,EPM runtime error: &1,
SEPM_WD,006,en,Purchase Order & accepted,
SEPM_BOR_MESSAGES,007,en,Consumer problem: Supplier ID and supplier name do not match: &1,
SEPM_BO_COMMON,007,en,Invalid address type '&1',
SEPM_DG,007,en,EPM Data Generator: Product Data created,
